,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Ref Frequency,Temp,,Ref Frequency,Temp,,Ref Frequency,Temp,,Ref Frequency,Temp,,Ref Frequency,Temp,,Ref Frequency,Temp,,Ref Frequency,Temp,,Ref Frequency,Temp,
1,21699936.86,24.5,,21699947.17,24.50,,21699928.21,24.50,,21699950.31,24.50,,21699926.00,24.50,,21699939.62,24.50,,21699953.66,24.25,,21699943.17,24.50,
26,21699936.66,18,-0.009,21699944.79,18.00,-0.109,21699927.31,18.00,-0.042,21699949.23,18.00,-0.050,21699924.55,18.75,-0.067,21699938.25,18.75,-0.063,21699952.05,18.75,-0.074,21699942.20,18.75,-0.044
27,21699936.58,17.5,-0.013,21699944.57,17.50,-0.119,21699927.25,17.50,-0.044,21699949.21,17.25,-0.051,21699924.43,18.25,-0.072,21699938.18,18.25,-0.066,21699951.96,18.25,-0.078,21699942.18,18.25,-0.046
28,21699936.64,17,-0.01,21699944.41,17.00,-0.127,21699927.23,16.75,-0.045,21699949.18,16.75,-0.052,21699924.32,17.75,-0.078,21699938.12,17.75,-0.069,21699951.89,17.50,-0.082,21699942.25,17.50,-0.042
29,21699936.66,16.25,-0.01,21699944.19,16.25,-0.137,21699927.02,16.25,-0.055,21699949.05,16.25,-0.058,21699924.21,17.25,-0.083,21699937.99,17.00,-0.075,21699951.73,17.25,-0.089,21699942.18,17.25,-0.045
30,21699936.58,15.75,-0.013,21699943.98,15.75,-0.147,21699927.07,15.75,-0.053,21699949.10,15.75,-0.056,21699924.18,16.75,-0.084,21699938.05,16.75,-0.072,21699951.77,16.75,-0.087,21699942.28,16.75,-0.041
31,21699936.49,15.25,-0.017,21699943.82,15.00,-0.154,21699927.00,15.00,-0.056,21699949.07,15.00,-0.057,21699924.10,16.00,-0.088,21699938.04,16.00,-0.073,21699951.69,16.00,-0.091,21699942.41,16.00,-0.035
32,21699936.53,14.5,-0.015,21699943.72,14.50,-0.159,21699926.97,14.50,-0.057,21699949.06,14.50,-0.058,21699924.11,15.50,-0.087,21699938.03,15.50,-0.073,21699951.69,15.50,-0.091,21699942.50,15.25,-0.031
33,21699936.54,14,-0.015,21699943.60,14.00,-0.164,21699926.98,14.00,-0.057,21699949.14,14.00,-0.054,21699924.07,14.75,-0.089,21699938.12,14.75,-0.069,21699951.67,14.75,-0.092,21699942.66,14.75,-0.023
34,21699936.52,13.25,-0.016,21699943.47,13.25,-0.170,21699926.97,13.25,-0.057,21699949.18,13.25,-0.052,21699924.11,14.00,-0.087,21699938.14,14.00,-0.068,21699951.66,14.00,-0.092,21699942.81,14.00,-0.016
35,21699936.47,12.75,-0.018,21699943.36,12.50,-0.175,21699927.00,12.50,-0.056,21699949.27,12.50,-0.048,21699924.18,13.75,-0.084,21699938.20,13.75,-0.065,21699951.68,13.75,-0.091,21699942.96,13.75,-0.010
36,21699936.42,12,-0.02,21699943.29,12.00,-0.179,21699927.01,12.00,-0.056,21699949.28,12.00,-0.048,21699924.18,13.00,-0.084,21699938.27,13.00,-0.062,21699951.68,13.00,-0.091,21699943.07,13.00,-0.005
37,21699936.45,11.5,-0.019,21699943.25,11.25,-0.180,21699926.99,11.25,-0.056,21699949.40,11.25,-0.042,21699924.27,12.25,-0.080,21699938.38,12.25,-0.057,21699951.77,12.25,-0.087,21699943.25,12.25,0.004
38,21699936.44,10.75,-0.019,21699943.16,10.75,-0.184,21699927.04,10.75,-0.054,21699949.43,10.75,-0.041,21699924.27,11.75,-0.080,21699938.43,11.50,-0.055,21699951.75,11.50,-0.088,21699943.42,11.50,0.012
39,21699936.26,10,-0.028,21699943.08,10.00,-0.188,21699927.07,10.00,-0.053,21699949.57,10.00,-0.034,21699924.38,11.00,-0.075,21699938.55,11.00,-0.049,21699951.80,10.75,-0.086,21699943.56,10.75,0.018
40,21699936.34,9.5,-0.024,21699943.21,9.25,-0.183,21699927.30,9.25,-0.042,21699949.86,9.25,-0.021,21699924.65,10.50,-0.062,21699938.83,10.50,-0.036,21699952.00,10.25,-0.077,21699943.93,10.00,0.035
41,21699936.28,8.75,-0.027,21699943.19,8.50,-0.183,21699927.35,8.50,-0.040,21699949.98,8.50,-0.015,21699924.76,9.75,-0.057,21699938.97,9.75,-0.030,21699952.16,9.75,-0.069,21699944.16,9.50,0.046
42,21699936.31,8,-0.026,21699943.27,8.00,-0.180,21699927.49,8.00,-0.033,21699950.14,7.75,-0.008,21699924.84,9.00,-0.053,21699939.19,9.00,-0.020,21699952.22,9.00,-0.066,21699944.31,9.00,0.053
43,21699936.25,7.25,-0.029,21699943.19,7.25,-0.183,21699927.48,7.25,-0.034,21699950.23,7.25,-0.004,21699924.95,8.25,-0.048,21699939.18,8.25,-0.020,21699952.20,8.25,-0.067,21699944.38,8.00,0.056
44,21699936.2,6.5,-0.031,21699943.26,6.50,-0.180,21699927.70,6.50,-0.024,21699950.48,6.50,0.008,21699925.18,7.50,-0.038,21699939.48,7.50,-0.006,21699952.40,7.50,-0.058,21699944.61,7.50,0.067
45,21699936.15,5.75,-0.033,21699943.31,5.75,-0.178,21699927.77,5.75,-0.020,21699950.64,5.75,0.015,21699925.27,7.00,-0.034,21699939.74,7.00,0.006,21699952.51,7.00,-0.053,21699944.74,6.75,0.072
46,21699936.19,5.25,-0.031,21699943.35,5.00,-0.176,21699927.95,5.00,-0.012,21699950.83,5.00,0.024,21699925.47,6.25,-0.024,21699939.84,6.25,0.010,21699952.59,6.00,-0.049,21699944.84,6.00,0.077
47,21699936.25,4.5,-0.028,21699943.48,4.25,-0.170,21699928.13,4.25,-0.004,21699951.04,4.25,0.033,21699925.62,5.50,-0.017,21699940.01,5.25,0.018,21699952.71,5.25,-0.044,21699944.85,5.25,0.078
48,21699936.18,3.75,-0.032,21699943.50,3.50,-0.169,21699928.22,3.50,0.000,21699951.17,3.50,0.039,21699925.70,4.75,-0.014,21699940.18,4.50,0.026,21699952.73,4.50,-0.043,21699944.84,4.50,0.077
49,21699936.08,3,-0.036,21699943.52,2.75,-0.168,21699928.29,2.75,0.003,21699951.30,2.75,0.046,21699925.80,3.75,-0.009,21699940.29,3.75,0.031,21699952.80,3.75,-0.040,21699944.84,3.75,0.077
50,21699936.13,2.25,-0.034,21699943.48,2.00,-0.170,21699928.39,2.00,0.008,21699951.46,2.00,0.053,21699925.95,3.00,-0.002,21699940.43,3.00,0.038,21699952.81,3.00,-0.039,21699944.79,3.25,0.075
51,21699936.07,1.5,-0.037,21699943.47,1.25,-0.171,21699928.48,1.25,0.012,21699951.51,1.25,0.055,21699926.09,2.25,0.004,21699940.57,2.25,0.044,21699952.86,2.25,-0.037,21699944.69,2.25,0.070
52,21699936.1,0.5,-0.035,21699943.49,0.50,-0.169,21699928.54,0.50,0.015,21699951.63,0.50,0.061,21699926.13,1.75,0.006,21699940.59,1.75,0.045,21699952.84,1.50,-0.038,21699944.54,1.50,0.063
53,21699936.17,-0.25,-0.032,21699943.47,-0.25,-0.170,21699928.56,-0.25,0.016,21699951.65,-0.25,0.062,21699926.11,0.75,0.005,21699940.57,0.75,0.044,21699952.71,0.75,-0.044,21699944.32,0.75,0.053
54,21699936.29,-1,-0.027,21699943.59,-1.00,-0.165,21699928.72,-1.00,0.023,21699951.77,-1.00,0.067,21699926.16,0.00,0.007,21699940.64,0.00,0.047,21699952.74,-0.25,-0.042,21699944.16,-0.25,0.046
55,21699936.36,-1.75,-0.023,21699943.47,-1.75,-0.170,21699928.68,-1.75,0.021,21699951.80,-1.75,0.069,21699926.18,-0.75,0.008,21699940.58,-0.75,0.044,21699952.61,-0.75,-0.049,21699943.91,-1.00,0.034
56,21699936.34,-2.5,-0.024,21699943.27,-2.50,-0.180,21699928.55,-2.50,0.015,21699951.64,-2.50,0.061,21699926.02,-1.25,0.001,21699940.51,-1.50,0.041,21699952.50,-1.50,-0.054,21699943.66,-1.50,0.023
57,21699936.47,-3.25,-0.018,21699943.24,-3.25,-0.181,21699928.53,-3.25,0.015,21699951.60,-3.25,0.059,21699925.90,-2.25,-0.005,21699940.34,-2.25,0.033,21699952.31,-2.25,-0.062,21699943.34,-2.25,0.008
58,21699936.54,-4,-0.015,21699943.21,-4.00,-0.182,21699928.42,-4.00,0.010,21699951.52,-4.25,0.055,21699925.81,-3.00,-0.009,21699940.28,-3.00,0.030,21699952.22,-3.25,-0.067,21699943.11,-3.25,-0.002
59,21699936.66,-4.75,-0.009,21699943.31,-4.75,-0.178,21699928.30,-4.75,0.004,21699951.46,-5.00,0.053,21699925.68,-4.00,-0.015,21699940.11,-4.00,0.023,21699952.03,-4.00,-0.075,21699942.87,-4.00,-0.013
60,21699936.73,-5.5,-0.006,21699943.05,-5.50,-0.190,21699928.22,-5.75,0.000,21699951.31,-5.75,0.046,21699925.56,-4.50,-0.020,21699939.96,-4.50,0.016,21699951.95,-4.50,-0.079,21699942.61,-4.50,-0.026
61,21699936.88,-6.25,0.001,21699942.80,-6.50,-0.201,21699928.14,-6.50,-0.003,21699951.26,-6.50,0.043,21699925.46,-5.25,-0.025,21699939.89,-5.25,0.013,21699951.87,-5.25,-0.082,21699942.44,-5.25,-0.033
62,21699936.95,-7,0.004,21699942.68,-7.25,-0.207,21699927.90,-7.25,-0.014,21699951.09,-7.25,0.036,21699925.25,-6.00,-0.035,21699939.70,-6.25,0.004,21699951.75,-6.25,-0.088,21699942.23,-6.25,-0.043
63,21699937.03,-8,0.008,21700023.68,-8.00,3.526,21699927.68,-8.00,-0.025,21699950.93,-8.00,0.028,21699925.09,-7.00,-0.042,21699939.53,-7.00,-0.004,21699951.63,-7.00,-0.094,21699942.05,-7.00,-0.051
64,21699937.04,-8.5,0.008,21699942.45,-8.75,-0.217,21699927.46,-8.75,-0.035,21699950.75,-8.75,0.020,21699924.80,-7.75,-0.055,21699939.29,-7.75,-0.015,21699951.43,-8.00,-0.103,21699941.81,-8.00,-0.062
65,21699937.14,-9.25,0.013,21699943.62,-9.50,-0.163,21699927.25,-9.50,-0.045,21699950.59,-9.50,0.013,21699924.66,-8.25,-0.062,21699939.13,-8.25,-0.022,21699951.32,-8.50,-0.108,21699941.71,-8.50,-0.067
66,21699937.24,-10,0.017,21699943.12,-10.00,-0.186,21699926.97,-10.25,-0.057,21699950.45,-10.25,0.006,21699924.40,-9.00,-0.074,21699938.88,-9.00,-0.034,21699951.29,-9.00,-0.109,21699941.64,-9.25,-0.070
67,21699937.11,-10.75,0.012,21699947.10,-10.75,-0.003,21699926.61,-10.75,-0.074,21699950.26,-11.00,-0.002,21699924.17,-9.75,-0.084,21699938.66,-10.00,-0.044,21699951.20,-10.00,-0.114,21699941.55,-10.00,-0.074
68,21699937.17,-11.5,0.014,21699945.28,-11.50,-0.087,21699926.48,-11.50,-0.080,21699950.23,-11.50,-0.004,21699924.05,-10.50,-0.090,21699938.60,-10.50,-0.047,21699951.22,-10.75,-0.113,21699941.57,-10.75,-0.074
69,21699937.18,-12.25,0.015,21699941.38,-12.25,-0.267,21699926.11,-12.25,-0.097,21699949.98,-12.25,-0.015,21699923.79,-11.25,-0.102,21699938.34,-11.25,-0.059,21699951.01,-11.25,-0.122,21699941.41,-11.25,-0.081
70,21699937.22,-12.75,0.016,21699940.89,-12.50,-0.289,21699925.96,-12.50,-0.104,21699949.96,-12.75,-0.016,21699923.61,-12.00,-0.110,21699938.21,-12.00,-0.065,21699951.03,-11.75,-0.121,21699941.53,-12.00,-0.075
71,21699937.23,-13.5,0.017,21699940.97,-13.50,-0.285,21699925.70,-13.50,-0.116,21699949.85,-13.50,-0.021,21699923.43,-12.50,-0.118,21699938.11,-12.50,-0.070,21699950.99,-12.50,-0.123,21699941.58,-12.50,-0.073
72,21699937.23,-13.75,0.017,21699939.72,-13.75,-0.343,21699925.50,-13.75,-0.125,21699949.79,-13.75,-0.024,21699923.24,-13.00,-0.127,21699938.00,-13.00,-0.075,21699950.94,-13.00,-0.126,21699941.62,-13.00,-0.071
73,21699937.33,-14.5,0.021,21699939.27,-14.50,-0.364,21699925.33,-14.50,-0.133,21699949.72,-14.50,-0.027,21699923.12,-13.75,-0.133,21699937.89,-13.75,-0.080,21699950.91,-13.75,-0.127,21699941.70,-13.75,-0.067
74,21699937.37,-14.75,0.024,21699940.40,-14.75,-0.312,21699925.15,-15.00,-0.141,21699949.64,-15.25,-0.031,21699922.98,-14.25,-0.139,21699937.86,-14.25,-0.081,21699950.82,-14.25,-0.131,21699941.80,-14.25,-0.063
75,21699937.52,-15.5,0.03,21699939.52,-15.25,-0.353,21699924.91,-15.50,-0.152,21699949.61,-15.50,-0.032,21699922.90,-14.75,-0.143,21699937.77,-14.75,-0.085,21699950.79,-14.75,-0.132,21699941.87,-15.00,-0.060
76,21699937.48,-16,0.028,21699940.34,-16.00,-0.315,21699924.69,-16.00,-0.163,21699949.51,-16.00,-0.037,21699922.71,-15.25,-0.152,21699937.64,-15.25,-0.091,21699950.76,-15.25,-0.134,21699942.02,-15.25,-0.053
77,21699937.59,-16.25,0.033,21699940.80,-16.50,-0.293,21699924.56,-16.50,-0.168,21699949.45,-16.25,-0.040,21699922.64,-16.00,-0.155,21699937.64,-15.75,-0.091,21699950.75,-16.00,-0.134,21699942.17,-15.75,-0.046
78,21699937.65,-17,0.036,21699940.52,-16.75,-0.306,21699924.39,-17.00,-0.176,21699949.40,-17.00,-0.042,21699922.53,-16.00,-0.160,21699937.52,-16.25,-0.097,21699950.64,-16.25,-0.139,21699942.32,-16.25,-0.039
79,21699937.66,-17.25,0.037,21699940.68,-17.25,-0.299,21699924.25,-17.25,-0.183,21699949.35,-17.25,-0.045,21699922.47,-16.50,-0.163,21699937.50,-16.50,-0.098,21699950.65,-16.75,-0.139,21699942.41,-16.50,-0.035
80,21699937.86,-17.75,0.046,21699940.56,-17.75,-0.304,21699924.11,-17.75,-0.189,21699949.25,-17.75,-0.049,21699922.37,-17.00,-0.167,21699937.44,-17.00,-0.101,21699950.54,-17.00,-0.144,21699942.57,-17.00,-0.027
81,21699937.96,-18,0.05,21699940.27,-18.00,-0.318,21699923.99,-18.00,-0.195,21699949.23,-18.00,-0.050,21699922.32,-17.25,-0.170,21699937.42,-17.50,-0.101,21699950.52,-17.50,-0.145,21699942.72,-17.50,-0.020
82,21699938.05,-18.5,0.055,21699940.61,-18.75,-0.302,21699923.87,-18.50,-0.200,21699949.20,-18.50,-0.051,21699922.26,-17.75,-0.173,21699937.36,-17.75,-0.104,21699950.48,-17.75,-0.147,21699942.82,-17.75,-0.016
83,21699938.09,-18.75,0.056,21699940.65,-18.75,-0.300,21699923.73,-18.75,-0.207,21699949.06,-18.75,-0.058,21699922.16,-18.25,-0.177,21699937.28,-18.25,-0.108,21699950.36,-18.25,-0.152,21699942.95,-18.25,-0.010
84,21699938.16,-19.25,0.06,21699940.62,-19.25,-0.302,21699923.65,-19.25,-0.210,21699949.04,-19.25,-0.059,21699922.11,-18.50,-0.179,21699937.25,-18.50,-0.109,21699950.34,-18.50,-0.153,21699943.10,-18.75,-0.003
85,21699938.23,-19.5,0.063,21699940.77,-19.50,-0.295,21699923.49,-19.50,-0.218,21699948.97,-19.50,-0.062,21699922.07,-19.00,-0.181,21699937.28,-19.00,-0.108,21699950.26,-19.00,-0.157,21699943.20,-19.00,0.001
86,21699938.33,-19.75,0.068,21699940.86,-19.75,-0.290,21699923.49,-19.75,-0.218,21699948.97,-19.75,-0.062,21699922.07,-19.25,-0.181,21699937.28,-19.50,-0.108,21699950.24,-19.50,-0.158,21699943.34,-19.25,0.008
87,21699938.41,-20.25,0.071,21699940.91,-20.00,-0.288,21699923.42,-20.25,-0.221,21699948.89,-20.00,-0.066,21699922.10,-19.50,-0.180,21699937.27,-19.75,-0.108,21699950.19,-19.50,-0.160,21699943.48,-19.75,0.014
88,21699938.57,-20.75,0.079,21699941.03,-20.50,-0.283,21699923.33,-20.50,-0.225,21699948.89,-20.75,-0.066,21699922.09,-19.75,-0.180,21699937.31,-19.75,-0.106,21699950.15,-20.00,-0.162,21699943.56,-20.00,0.018
89,21699938.6,-20.75,0.08,21699941.03,-20.75,-0.283,21699923.24,-21.00,-0.229,21699948.86,-20.75,-0.067,21699922.10,-20.00,-0.180,21699937.35,-20.00,-0.104,21699950.15,-20.00,-0.162,21699943.72,-20.00,0.026
90,21699938.68,-21,0.084,21699941.07,-21.00,-0.281,21699923.19,-21.00,-0.232,21699948.82,-21.00,-0.069,21699922.09,-20.25,-0.180,21699937.35,-20.25,-0.105,21699950.08,-20.25,-0.165,21699943.81,-20.25,0.030
91,21699938.63,-21.25,0.082,21699941.00,-21.25,-0.284,21699923.01,-21.25,-0.240,21699948.73,-21.25,-0.073,21699921.99,-20.50,-0.185,21699937.26,-20.50,-0.109,21699950.01,-20.50,-0.168,21699943.88,-20.50,0.033
92,21699938.82,-21.5,0.09,21699941.19,-21.50,-0.275,21699923.02,-21.50,-0.239,21699948.80,-21.50,-0.070,21699922.02,-20.75,-0.183,21699937.32,-20.75,-0.106,21699949.95,-20.75,-0.171,21699943.94,-20.75,0.036
93,21699938.92,-21.75,0.095,21699941.17,-21.75,-0.276,21699922.91,-21.75,-0.245,21699948.73,-21.75,-0.073,21699921.96,-21.00,-0.186,21699937.26,-21.00,-0.109,21699949.90,-21.00,-0.174,21699944.01,-21.25,0.039
94,21699938.86,-22,0.092,21699941.20,-22.00,-0.275,21699922.89,-22.00,-0.245,21699948.70,-22.00,-0.074,21699922.00,-21.50,-0.185,21699937.29,-21.25,-0.107,21699949.91,-21.50,-0.173,21699944.08,-21.50,0.042
95,21699939.01,-22,0.099,21699941.35,-22.25,-0.268,21699922.93,-22.25,-0.243,21699948.73,-22.25,-0.073,21699922.06,-21.75,-0.182,21699937.35,-21.50,-0.105,21699949.89,-21.50,-0.174,21699944.22,-21.50,0.049
96,21699939.09,-22.25,0.102,21699941.41,-22.25,-0.265,21699922.93,-22.25,-0.244,21699948.77,-22.50,-0.071,21699922.11,-21.75,-0.179,21699937.40,-21.75,-0.102,21699949.95,-21.75,-0.171,21699944.39,-21.75,0.057
97,21699939.11,-22.5,0.103,21699941.52,-22.50,-0.260,21699922.95,-22.50,-0.242,21699948.77,-22.50,-0.071,21699922.12,-22.00,-0.179,21699937.43,-22.00,-0.101,21699949.91,-22.00,-0.173,21699944.46,-22.00,0.060
98,21699939.26,-22.75,0.111,21699941.58,-22.75,-0.258,21699922.96,-22.75,-0.242,21699948.77,-22.75,-0.071,21699922.14,-22.25,-0.178,21699937.47,-22.25,-0.099,21699949.88,-22.25,-0.174,21699944.51,-22.25,0.062
99,21699939.29,-23,0.112,21699941.65,-23.00,-0.254,21699922.93,-23.00,-0.243,21699948.73,-23.00,-0.073,21699922.20,-22.50,-0.175,21699937.55,-22.50,-0.095,21699949.93,-22.50,-0.172,21699944.60,-22.50,0.066
100,21699939.29,-23,0.112,21699941.74,-23.00,-0.250,21699922.93,-23.00,-0.244,21699948.81,-23.00,-0.069,21699922.25,-22.50,-0.173,21699937.56,-22.50,-0.095,21699949.92,-22.75,-0.173,21699944.64,-22.75,0.068
101,21699939.36,-23.25,0.115,21699941.80,-23.25,-0.247,21699922.94,-23.25,-0.243,21699948.75,-23.25,-0.072,21699922.25,-22.75,-0.173,21699937.64,-22.75,-0.091,21699949.95,-22.75,-0.171,21699944.80,-22.75,0.075
102,21699939.36,-23.5,0.115,21699941.81,-23.50,-0.247,21699922.87,-23.50,-0.246,21699948.75,-23.50,-0.072,21699922.25,-23.00,-0.173,21699937.60,-23.00,-0.093,21699949.90,-23.00,-0.173,21699944.74,-23.00,0.073
103,21699939.42,-23.5,0.118,21699941.93,-23.50,-0.241,21699922.93,-23.50,-0.243,21699948.77,-23.50,-0.071,21699922.29,-23.25,-0.171,21699937.66,-23.25,-0.090,21699949.90,-23.25,-0.174,21699944.85,-23.25,0.077
104,21699939.48,-23.75,0.121,21699942.03,-23.75,-0.237,21699922.92,-23.75,-0.244,21699948.72,-23.75,-0.073,21699922.27,-23.25,-0.172,21699937.64,-23.25,-0.091,21699949.87,-23.00,-0.175,21699944.86,-23.25,0.078
